grid_id,region_code,region_name,grid_area_m2,analysis_area_m2,centroid_x,centroid_y,longitude,latitude,nearest_shelter_distance_m,current_covered,farmland_area_m2,farmland_ratio,population,elderly_population,elderly_ratio
라마41a26a,48890450,대병면,250000.0,175841.22011701012,1041250.0,1726250.0,127.95500590290072,35.53134533893787,3299.608357803863,False,0.0,0.0,,,
라마41a26b,48890450,대병면,250000.0,185400.39191489285,1041250.0,1726750.0,127.95503135886834,35.53585351878049,3323.41517824437,False,0.0,0.0,,,
라마41a27a,48890450,대병면,250000.0,166400.5274560094,1041250.0,1727250.0,127.95505682048936,35.54036169523034,3420.92992899314,False,0.0,0.0,,,
라마41a27b,48890450,대병면,250000.0,159620.2656999472,1041250.0,1727750.0,127.95508228776497,35.54486986828721,3586.144825739329,False,0.0,0.0,,,
라마41b24b,48890450,대병면,250000.0,130514.36692305416,1041750.0,1724750.0,127.96044370854013,35.51779985719136,3219.639656877917,False,0.0,0.0,,,
라마41b25a,48890450,대병면,250000.0,129713.1562700151,1041750.0,1725250.0,127.96046945587165,35.5223080437506,3003.956166830152,False,2666.423430542079,0.0205563067557431,,,
라마41b25b,48890450,대병면,250000.0,217594.4985899433,1041750.0,1725750.0,127.96049520892124,35.52681622691722,2860.3191752552466,False,0.0,0.0,,,
라마41b26a,48890450,대병면,250000.0,250000.0,1041750.0,1726250.0,127.96052096769014,35.53132440669104,2799.839087595715,False,33.95825173548365,0.0001358330069419,0.0,,
라마41b26b,48890450,대병면,250000.0,250000.0,1041750.0,1726750.0,127.9605467321797,35.53583258307189,2827.8564405791108,False,9261.552162426731,0.0370462086497069,0.0,0.0,
라마41b27a,48890450,대병면,250000.0,250000.0,1041750.0,1727250.0,127.9605725023911,35.54034075605956,2941.843840284645,False,176.72919611711183,0.0007069167844684,,,
라마41b27b,48890450,대병면,250000.0,250000.0,1041750.0,1727750.0,127.96059827832568,35.54484892565388,3132.4300970199893,False,0.0,0.0,,,
라마41b28a,48890450,대병면,250000.0,219489.42363139067,1041750.0,1728250.0,127.96062405998472,35.549357091854674,3386.708054263404,False,0.0,0.0,,,
라마42a22b,48890450,대병면,250000.0,178722.7405206733,1042250.0,1722750.0,127.96585367771064,35.49974591712656,4264.630182477355,False,0.0,0.0,,,
라마42a23a,48890450,대병면,250000.0,250000.0,1042250.0,1723250.0,127.96587971022414,35.504254113753625,3852.887712533651,False,0.0,0.0,,,
라마42a23b,48890450,대병면,250000.0,250000.0,1042250.0,1723750.0,127.965905748519,35.50876230698844,3464.450440905274,False,0.0,0.0,,,
라마42a24a,48890450,대병면,250000.0,250000.0,1042250.0,1724250.0,127.9659317925965,35.51327049683079,3108.068530387433,False,0.0,0.0,,,
라마42a24b,48890450,대병면,250000.0,250000.0,1042250.0,1724750.0,127.96595784245795,35.517778683280504,2796.0263091896413,False,11432.010966184444,0.0457280438647377,,,
라마42a25a,48890450,대병면,250000.0,250000.0,1042250.0,1725250.0,127.96598389810468,35.52228686633742,2544.687849968361,False,21842.702138103254,0.087370808552413,0.0,0.0,
라마42a25b,48890450,대병면,250000.0,250000.0,1042250.0,1725750.0,127.96600995953791,35.52679504600131,2373.4172380499285,False,0.0,0.0,,,
라마42a26a,48890450,대병면,250000.0,250000.0,1042250.0,1726250.0,127.96603602675896,35.53130322227204,2300.17010631138,False,0.0,0.0,,,
라마42a26b,48890450,대병면,250000.0,250000.0,1042250.0,1726750.0,127.96606209976916,35.535811395149395,2334.1927191353448,False,30353.94468827848,0.1214157787531139,0.0,0.0,
라마42a27a,48890450,대병면,250000.0,250000.0,1042250.0,1727250.0,127.9660881785697,35.540319564633194,2471.0582312362467,False,28811.44941772212,0.1152457976708884,10.0,7.0,0.7
라마42a27b,48890450,대병면,250000.0,250000.0,1042250.0,1727750.0,127.96611426316196,35.544827730723256,2695.1441360818458,False,18542.42080737324,0.0741696832294929,35.0,17.0,0.4857142857142857
라마42a28a,48890450,대병면,250000.0,250000.0,1042250.0,1728250.0,127.9661403535472,35.5493358934194,2986.88383542988,False,0.0,0.0,,,
라마42a28b,48890450,대병면,250000.0,176002.14826971464,1042250.0,1728750.0,127.9661664497267,35.55384405272146,3328.535440467513,False,0.0,0.0,,,
라마42b22b,48890450,대병면,250000.0,250000.0,1042750.0,1722750.0,127.97136657327206,35.49972450534165,4017.306833543654,False,0.0,0.0,,,
라마42b23a,48890450,대병면,250000.0,250000.0,1042750.0,1723250.0,127.97139291382572,35.50423269842625,3577.209432914502,False,0.0,0.0,,,
