grid_id,region_code,region_name,population,grid_area_m2,analysis_area_m2,centroid_x,centroid_y,longitude,latitude
라마41a26a,48890450,대병면,,250000.0,175841.22011701012,1041250.0,1726250.0,127.95500590290072,35.53134533893787
라마41a26b,48890450,대병면,,250000.0,185400.39191489283,1041250.0,1726750.0,127.95503135886834,35.53585351878049
라마41a27a,48890450,대병면,,250000.0,166400.5274560094,1041250.0,1727250.0,127.95505682048935,35.54036169523034
라마41a27b,48890450,대병면,,250000.0,159620.2656999472,1041250.0,1727750.0,127.95508228776495,35.54486986828721
라마41b24b,48890450,대병면,,250000.0,130514.36692305417,1041750.0,1724750.0,127.96044370854013,35.517799857191356
라마41b25a,48890450,대병면,,250000.0,129713.1562700151,1041750.0,1725250.0,127.96046945587165,35.5223080437506
라마41b25b,48890450,대병면,,250000.0,217594.49858994334,1041750.0,1725750.0,127.96049520892123,35.52681622691722
라마41b26a,48890450,대병면,5.0,250000.0,250000.0,1041750.0,1726250.0,127.96052096769014,35.53132440669104
라마41b26b,48890450,대병면,5.0,250000.0,250000.0,1041750.0,1726750.0,127.9605467321797,35.53583258307189
라마41b27a,48890450,대병면,,250000.0,250000.0,1041750.0,1727250.0,127.9605725023911,35.54034075605956
라마41b27b,48890450,대병면,,250000.0,250000.0,1041750.0,1727750.0,127.96059827832569,35.54484892565388
라마41b28a,48890450,대병면,,250000.0,219489.42363139067,1041750.0,1728250.0,127.96062405998471,35.549357091854674
라마42a22b,48890450,대병면,,250000.0,178722.7405206733,1042250.0,1722750.0,127.96585367771065,35.49974591712656
라마42a23a,48890450,대병면,,250000.0,250000.0,1042250.0,1723250.0,127.96587971022414,35.504254113753625
라마42a23b,48890450,대병면,,250000.0,250000.0,1042250.0,1723750.0,127.96590574851899,35.50876230698844
라마42a24a,48890450,대병면,,250000.0,250000.0,1042250.0,1724250.0,127.9659317925965,35.51327049683079
라마42a24b,48890450,대병면,,250000.0,250000.0,1042250.0,1724750.0,127.96595784245797,35.517778683280504
라마42a25a,48890450,대병면,5.0,250000.0,250000.0,1042250.0,1725250.0,127.96598389810467,35.52228686633742
라마42a25b,48890450,대병면,,250000.0,250000.0,1042250.0,1725750.0,127.96600995953793,35.52679504600131
라마42a26a,48890450,대병면,,250000.0,250000.0,1042250.0,1726250.0,127.96603602675897,35.53130322227204
라마42a26b,48890450,대병면,5.0,250000.0,250000.0,1042250.0,1726750.0,127.96606209976915,35.535811395149395
라마42a27a,48890450,대병면,8.0,250000.0,250000.0,1042250.0,1727250.0,127.9660881785697,35.540319564633194
라마42a27b,48890450,대병면,28.0,250000.0,250000.0,1042250.0,1727750.0,127.96611426316196,35.544827730723256
라마42a28a,48890450,대병면,,250000.0,250000.0,1042250.0,1728250.0,127.96614035354719,35.5493358934194
라마42a28b,48890450,대병면,,250000.0,176002.14826971464,1042250.0,1728750.0,127.9661664497267,35.55384405272146
라마42b22b,48890450,대병면,,250000.0,250000.0,1042750.0,1722750.0,127.97136657327206,35.49972450534165
라마42b23a,48890450,대병면,,250000.0,250000.0,1042750.0,1723250.0,127.97139291382571,35.50423269842625
라마42b23b,48890450,대병면,,250000.0,250000.0,1042750.0,1723750.0,127.97141926022915,35.50874088811821
라마42b24a,48890450,대병면,,250000.0,250000.0,1042750.0,1724250.0,127.97144561248368,35.51324907441731
라마42b24b,48890450,대병면,,250000.0,250000.0,1042750.0,1724750.0,127.9714719705906,35.5177572573234
라마42b25a,48890450,대병면,,250000.0,250000.0,1042750.0,1725250.0,127.9714983345512,35.522265436836285
라마42b25b,48890450,대병면,,250000.0,250000.0,1042750.0,1725750.0,127.97152470436681,35.52677361295579
라마42b26a,48890450,대병면,,250000.0,250000.0,1042750.0,1726250.0,127.9715510800387,35.5312817856817
라마42b26b,48890450,대병면,18.0,250000.0,250000.0,1042750.0,1726750.0,127.9715774615682,35.535789955013875
라마42b27a,48890450,대병면,5.0,250000.0,250000.0,1042750.0,1727250.0,127.97160384895662,35.54029812095209
라마42b27b,48890450,대병면,5.0,250000.0,250000.0,1042750.0,1727750.0,127.97163024220525,35.544806283496186
라마42b28a,48890450,대병면,,250000.0,250000.0,1042750.0,1728250.0,127.97165664131543,35.54931444264597
라마42b28b,48890450,대병면,,250000.0,231281.46516922727,1042750.0,1728750.0,127.9716830462884,35.553822598401275
라마43a19b,48890440,가회면,,250000.0,169325.87541700073,1043250.0,1719750.0,127.97671969563793,35.47265363343155
라마43a20a,48890440,가회면,,250000.0,226394.50049199507,1043250.0,1720250.0,127.976746308749,35.477161843286424
라마43a20b,48890440,가회면,,250000.0,192844.53421697282,1043250.0,1720750.0,127.97677292777036,35.48167004974937
라마43a21a,48890440,가회면,,250000.0,163464.26802702085,1043250.0,1721250.0,127.9767995527033,35.4861782528202
라마43a21b,48890440,가회면,,250000.0,197143.72948836617,1043250.0,1721750.0,127.97682618354919,35.49068645249869
라마43a22a,48890440,가회면,,250000.0,236541.69056602736,1043250.0,1722250.0,127.9768528203093,35.495194648784704
라마43a22b,48890450,대병면,,250000.0,250000.0,1043250.0,1722750.0,127.97687946298498,35.49970284167805
라마43a23a,48890450,대병면,,250000.0,250000.0,1043250.0,1723250.0,127.9769061115775,35.504211031178514
라마43a23b,48890450,대병면,,250000.0,250000.0,1043250.0,1723750.0,127.97693276608823,35.50871921728594
라마43a24a,48890450,대병면,,250000.0,250000.0,1043250.0,1724250.0,127.97695942651845,35.51322740000013
라마43a24b,48890450,대병면,,250000.0,250000.0,1043250.0,1724750.0,127.97698609286952,35.51773557932091
라마43a25a,48890450,대병면,,250000.0,250000.0,1043250.0,1725250.0,127.9770127651427,35.522243755248084
라마43a25b,48890450,대병면,,250000.0,250000.0,1043250.0,1725750.0,127.97703944333938,35.526751927781476
라마43a26a,48890450,대병면,,250000.0,250000.0,1043250.0,1726250.0,127.97706612746082,35.5312600969209
라마43a26b,48890450,대병면,8.0,250000.0,250000.0,1043250.0,1726750.0,127.97709281750836,35.53576826266617
라마43a27a,48890450,대병면,13.0,250000.0,250000.0,1043250.0,1727250.0,127.97711951348332,35.540276425017105
라마43a27b,48890450,대병면,5.0,250000.0,250000.0,1043250.0,1727750.0,127.97714621538702,35.54478458397352
라마43a28a,48890450,대병면,,250000.0,250000.0,1043250.0,1728250.0,127.97717292322082,35.54929273953523
라마43a28b,48890450,대병면,,250000.0,250000.0,1043250.0,1728750.0,127.97719963698597,35.55380089170206
라마43a29a,48890310,봉산면,,250000.0,248922.42373913084,1043250.0,1729250.0,127.97722635668387,35.558309040473816
라마43a29b,48890310,봉산면,,250000.0,221873.92252307912,1043250.0,1729750.0,127.97725308231577,35.56281718585032
라마43b18a,48890440,가회면,,250000.0,148314.55798864132,1043750.0,1718250.0,127.98215000628701,35.459107100589996
라마43b18b,48890440,가회면,,250000.0,249542.07289687102,1043750.0,1718750.0,127.98217690909772,35.46361531699737
