grid_id,farmland_area_m2,farmland_ratio,analysis_area_m2
라마41a26a,0.0,0.0,175841.22011701012
라마41a26b,0.0,0.0,185400.39191489285
라마41a27a,0.0,0.0,166400.5274560094
라마41a27b,0.0,0.0,159620.2656999472
라마41b24b,0.0,0.0,130514.36692305416
라마41b25a,2666.423430542079,0.020556306755743155,129713.1562700151
라마41b25b,0.0,0.0,217594.4985899433
라마41b26a,33.95825173548365,0.0001358330069419346,250000.0
라마41b26b,9261.552162426733,0.03704620864970693,250000.0
라마41b27a,176.72919611711185,0.0007069167844684474,250000.0
라마41b27b,0.0,0.0,250000.0
라마41b28a,0.0,0.0,219489.42363139067
라마42a22b,0.0,0.0,178722.7405206733
라마42a23a,0.0,0.0,250000.0
라마42a23b,0.0,0.0,250000.0
라마42a24a,0.0,0.0,250000.0
라마42a24b,11432.010966184444,0.04572804386473778,250000.0
라마42a25a,21842.702138103254,0.08737080855241301,250000.0
라마42a25b,0.0,0.0,250000.0
라마42a26a,0.0,0.0,250000.0
라마42a26b,30353.944688278476,0.1214157787531139,250000.0
라마42a27a,28811.449417722117,0.11524579767088847,250000.0
라마42a27b,18542.42080737324,0.07416968322949297,250000.0
라마42a28a,0.0,0.0,250000.0
라마42a28b,0.0,0.0,176002.14826971464
라마42b22b,0.0,0.0,250000.0
라마42b23a,0.0,0.0,250000.0
라마42b23b,0.0,0.0,250000.0
라마42b24a,0.0,0.0,250000.0
라마42b24b,0.0,0.0,250000.0
라마42b25a,0.0,0.0,250000.0
라마42b25b,8271.380973446368,0.033085523893785475,250000.0
라마42b26a,1128.0425327092748,0.004512170130837099,250000.0
라마42b26b,14949.643034954606,0.05979857213981842,250000.0
라마42b27a,56613.72781880004,0.22645491127520018,250000.0
라마42b27b,23618.656335334173,0.09447462534133669,250000.0
라마42b28a,0.0,0.0,250000.0
라마42b28b,0.0,0.0,231281.46516922727
라마43a19b,0.0,0.0,169325.87541700073
라마43a20a,0.0,0.0,226394.50049199507
라마43a20b,0.0,0.0,192844.5342169728
라마43a21a,0.0,0.0,163464.26802702085
라마43a21b,0.0,0.0,197143.72948836617
라마43a22a,0.0,0.0,236541.69056602736
라마43a22b,0.0,0.0,250000.0
라마43a23a,0.0,0.0,250000.0
라마43a23b,0.0,0.0,250000.0
라마43a24a,0.0,0.0,250000.0
라마43a24b,0.0,0.0,250000.0
라마43a25a,0.0,0.0,250000.0
라마43a25b,0.0,0.0,250000.0
라마43a26a,0.0,0.0,250000.0
라마43a26b,15723.74662714929,0.06289498650859716,250000.0
라마43a27a,19981.14983353264,0.07992459933413056,250000.0
라마43a27b,11050.305728427558,0.04420122291371023,250000.0
라마43a28a,1196.7691782058125,0.00478707671282325,250000.0
라마43a28b,0.0,0.0,250000.0
라마43a29a,0.0,0.0,248922.42373913084
